
HM_DM_WRK_OWNER.V_W_TL_IN_OR_RISK_CAT_COUNTS|RISK_CATEGORY_COUNT|NUMBER|AVERAGE OF COLUMN|2.06652126499454743729552889858233369684|2020-06-17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
HM_DM_WRK_OWNER.V_W_TL_IN_OR_RISK_CAT_COUNTS|RISK_CATEGORY_COUNT|NUMBER|MAX OF COLUMN|69|2020-06-17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
HM_DM_WRK_OWNER.V_W_TL_IN_OR_RISK_CAT_COUNTS|RISK_CATEGORY_COUNT|NUMBER|MEDIAN OF COLUMN|1|2020-06-17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
HM_DM_WRK_OWNER.V_W_TL_IN_OR_RISK_CAT_COUNTS|RISK_CATEGORY_COUNT|NUMBER|MIN OF COLUMN|0|2020-06-17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
HM_DM_WRK_OWNER.V_W_TL_IN_OR_RISK_CAT_COUNTS|RISK_CATEGORY_COUNT|NUMBER|NULL COUNT|0|2020-06-17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         

HM_DM_WRK_OWNER.V_W_TL_IN_OR_RISK_CAT_COUNTS|RISK_CATEGORY|VARCHAR2|NULL COUNT|         0|2020-06-17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    

HM_DM_WRK_OWNER.V_W_TL_IN_OR_RISK_CAT_COUNTS|HM_GL_IN_OR_RISK_CAT_COUNT_ID|NUMBER|NULL COUNT      |         0|2020-06-17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
HM_DM_WRK_OWNER.V_W_TL_IN_OR_RISK_CAT_COUNTS|HM_GL_IN_OR_RISK_CAT_COUNT_ID|NUMBER|UNIQUE KEY COUNT|     17423|2020-06-17                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
